Date,Open,High,Low,Close,Volume
2025-08-13,305.01,307.6,302.43,306.87,2586004.0
2025-08-12,298.475,305.07,298.475,303.21,2170853.0
2025-08-11,297.25,297.4395,294.89,296.23,2316801.0
2025-08-08,297.0,298.13,294.54,297.43,1778241.0
2025-08-07,297.7,298.29,290.63,294.73,2842694.0
2025-08-06,298.05,298.05,294.435,295.54,3430465.0
2025-08-05,299.62,300.35,295.2259,296.64,2181295.0
2025-08-04,295.7,299.1,295.53,298.59,1876124.0
2025-08-01,294.03,294.91,288.34,294.27,3013165.0
2025-07-31,302.0,303.91,298.07,299.31,2718236.0
2025-07-30,308.61,308.75,301.37,303.41,3132403.0
2025-07-29,312.695,313.62,307.845,308.54,1796438.0
2025-07-28,311.61,313.5,309.29,310.74,1653819.0
2025-07-25,309.56,312.647,307.51,311.61,2149651.0
2025-07-24,308.3,310.5,307.0,308.25,2288374.0
2025-07-23,307.0,309.5873,305.24,308.66,2139091.0
2025-07-22,303.12,306.16,301.73,304.14,2296078.0
2025-07-21,307.96,309.17,302.97,302.97,2667213.0
2025-07-18,311.86,311.86,302.51,307.95,5481072.0
2025-07-17,311.15,316.98,310.58,315.35,3223322.0
2025-07-16,312.0,312.49,306.61,311.9,2921929.0
2025-07-15,319.45,319.45,310.43,310.65,3006495.0
2025-07-14,319.495,321.77,317.68,320.92,1891073.0
2025-07-11,322.98,324.35,319.2,319.47,2091224.0
2025-07-10,317.85,326.1,317.5,325.24,2845002.0
2025-07-09,318.66,320.93,317.31,317.35,2424532.0
2025-07-08,323.515,324.47,316.95,316.98,2643921.0
2025-07-07,327.435,328.405,320.26,322.73,2160572.0
2025-07-03,325.325,329.14,324.18,328.13,1541782.0
2025-07-02,322.85,326.62,321.34,325.61,3040402.0
2025-07-01,316.93,324.38,316.3,322.53,3836382.0
2025-06-30,318.575,320.13,317.59,318.98,3416552.0
2025-06-27,315.0,320.1199,313.1001,317.19,4605544.0
2025-06-26,309.58,312.27,308.17,311.42,3255232.0
2025-06-25,308.5,310.7655,307.175,308.59,2467383.0
2025-06-24,302.46,309.22,302.15,308.38,2806220.0
2025-06-23,296.82,299.87,291.88,299.63,3101662.0
2025-06-20,297.585,299.75,296.64,298.59,5687247.0
2025-06-18,292.83,299.24,292.08,296.42,3691454.0
2025-06-17,292.09,294.5899,290.95,292.81,2626084.0
2025-06-16,290.07,296.445,290.0199,294.22,2307823.0
2025-06-13,292.545,293.33,286.15,287.79,3405947.0
2025-06-12,296.67,298.575,294.0,297.99,1604549.0
2025-06-11,300.51,303.39,298.655,299.1,2013798.0
2025-06-10,301.345,301.78,298.0,299.52,2045505.0
2025-06-09,303.375,303.79,299.58,301.56,2098056.0
2025-06-06,299.23,303.5,299.23,302.47,2099359.0
2025-06-05,296.655,298.5,294.14,295.96,1697419.0
2025-06-04,297.775,298.6499,295.8,295.93,1842452.0
2025-06-03,294.485,298.25,292.65,297.39,2202444.0
2025-06-02,292.2725,295.745,290.33,295.33,1751448.0
2025-05-30,294.66,295.75,291.63,294.05,5251753.0
2025-05-29,296.605,296.605,292.8,295.38,2362494.0
2025-05-28,293.465,295.38,292.38,293.36,1676883.0
2025-05-27,289.74,293.86,288.15,293.76,2604301.0
2025-05-23,281.82,287.1,281.465,285.22,1724244.0
2025-05-22,285.065,289.05,285.065,287.18,2052009.0
2025-05-21,293.01,294.1195,285.11,286.0,3447538.0
