Date,Open,High,Low,Close,Volume
2025-08-13,114.21,117.23,114.15,116.64,9023740
2025-08-12,113.3018,114.4,112.49,113.72,7275374
2025-08-11,112.57,113.15,111.54,112.55,8532602
2025-08-08,113.3,114.292,112.02,112.43,9490971
2025-08-07,115.75,116.4,111.82,112.88,15484435
2025-08-06,115.775,116.1224,112.2,115.17,22153696
2025-08-05,119.25,119.57,117.33,118.32,15365681
2025-08-04,117.725,119.52,117.725,119.35,8845043
2025-08-01,117.585,117.8918,115.57,116.59,8637815
2025-07-31,119.455,119.91,118.58,119.11,7235003
2025-07-30,119.93,120.5,119.175,119.54,5281457
2025-07-29,120.58,120.805,119.36,119.91,6283748
2025-07-28,121.03,121.4,119.8889,120.37,6042152
2025-07-25,122.255,122.45,120.87,121.47,5656575
2025-07-24,122.85,123.4,121.81,121.95,6702242
2025-07-23,121.52,123.18,121.5,122.94,8258934
2025-07-22,120.75,121.43,120.56,121.06,5614473
2025-07-21,121.07,121.9699,120.78,120.84,6392470
2025-07-18,121.965,122.16,120.29,121.42,9486785
2025-07-17,119.75,122.39,119.75,122.21,9933689
2025-07-16,119.36,120.57,118.875,119.82,6747531
2025-07-15,119.96,120.23,118.88,118.98,7943647
2025-07-14,119.775,120.5,119.6018,119.97,6853279
2025-07-11,120.64,121.2265,119.73,119.87,6112433
2025-07-10,120.62,121.95,120.62,121.56,6893444
2025-07-09,121.835,122.35,120.61,120.61,6724923
2025-07-08,123.215,123.711,121.82,121.82,6622889
2025-07-07,123.21,124.61,122.5788,123.16,7023455
2025-07-03,123.065,124.24,122.9,124.0,4252305
2025-07-02,123.315,123.7,122.53,122.98,7317075
2025-07-01,123.5,123.755,122.45,123.49,9815654
2025-06-30,124.31,124.69,123.18,124.01,13456209
2025-06-27,121.85,122.94,121.4844,122.34,13435553
2025-06-26,119.98,121.67,119.68,121.46,10439595
2025-06-25,118.77,119.72,118.63,119.42,6976323
2025-06-24,117.75,119.08,117.75,118.65,8350221
2025-06-23,116.66,117.99,115.02,117.75,8347998
2025-06-20,118.25,119.05,116.9,117.63,17180437
2025-06-18,117.88,118.75,116.84,117.86,8181181
2025-06-17,118.99,119.33,117.645,118.13,9241183
2025-06-16,118.02,120.3416,117.87,119.48,9592056
2025-06-13,117.305,118.32,117.3,117.94,13204927
2025-06-12,118.87,119.39,117.66,118.61,7980313
2025-06-11,118.38,119.545,117.65,119.52,10439186
2025-06-10,115.525,120.5,115.525,118.73,18948440
2025-06-09,113.98,116.11,113.98,115.66,7960389
2025-06-06,113.36,114.22,113.21,113.9,5790664
2025-06-05,113.61,114.34,111.8435,112.53,8550153
2025-06-04,113.855,114.05,112.9764,113.49,5614893
2025-06-03,112.725,114.69,112.52,113.6,9738804
2025-06-02,112.68,113.6,112.25,112.95,7546839
2025-05-30,112.005,113.35,111.3701,113.04,12881064
2025-05-29,112.01,112.26,110.52,112.02,9683748
2025-05-28,112.2,112.47,111.17,111.52,5787948
2025-05-27,111.025,112.89,110.15,112.36,10201106
2025-05-23,109.6,110.345,108.78,109.72,8086103
2025-05-22,109.975,111.7965,109.975,111.13,7903694
2025-05-21,111.692,112.485,110.13,110.46,10150618
2025-05-20,112.44,113.4,111.81,112.36,6433281
2025-05-19,112.12,112.99,111.9,112.66,7209681
2025-05-16,111.915,113.44,111.42,113.42,10960998
2025-05-15,112.23,112.85,111.58,112.22,8322383
2025-05-14,111.37,113.41,110.83,112.94,15352206
2025-05-13,110.245,112.2,110.15,111.38,14076719
2025-05-12,109.87,110.935,108.66,110.49,18366644
2025-05-09,105.255,106.19,104.76,105.94,10438191
