Date,Open,High,Low,Close,Volume
2025-08-13,281.0,281.5,264.08,268.86,7592368.0
2025-08-12,277.985,280.54,275.7,279.63,3631266.0
2025-08-11,275.5,276.41,272.55,275.2,3360062.0
2025-08-08,273.58,277.18,272.58,275.01,4467280.0
2025-08-07,271.95,272.87,268.725,272.02,3050407.0
2025-08-06,273.5,275.05,269.91,272.28,3576773.0
2025-08-05,276.32,277.0,268.62,272.12,4000620.0
2025-08-04,270.505,276.845,270.22,276.23,3744039.0
2025-08-01,265.53,270.55,261.71,269.38,4416280.0
2025-07-31,273.065,274.94,269.875,271.08,4523978.0
2025-07-30,270.915,273.63,269.51,273.55,4696997.0
2025-07-29,272.73,273.8,269.115,270.31,4125295.0
2025-07-28,273.355,273.4399,267.44,270.61,5006423.0
2025-07-25,268.94,272.83,268.255,271.59,4598420.0
2025-07-24,263.5,269.84,263.18,268.01,5206657.0
2025-07-23,260.53,263.73,259.95,263.18,4689791.0
2025-07-22,260.73,261.5,254.66,259.0,4751253.0
2025-07-21,263.69,266.25,259.58,262.86,5208459.0
2025-07-18,265.39,269.6959,262.555,263.27,8619762.0
2025-07-17,269.8,272.8,258.16,260.28,16260190.0
2025-07-16,264.27,266.86,262.0342,266.18,11912881.0
2025-07-15,263.915,265.06,261.735,264.67,9392434.0
2025-07-14,256.0,262.46,256.0,262.34,7502195.0
2025-07-11,251.5,256.88,251.4,255.42,7867216.0
2025-07-10,250.69,252.68,246.75,252.57,5463532.0
2025-07-09,248.99,251.72,246.8174,250.33,5589463.0
2025-07-08,248.0,249.46,243.34,247.05,5994453.0
2025-07-07,247.52,249.44,246.48,248.65,5336401.0
2025-07-03,245.405,248.7,245.0,246.88,3089499.0
2025-07-02,249.065,249.1267,243.66,244.75,6228633.0
2025-07-01,255.75,255.75,247.11,249.02,7178305.0
2025-06-30,256.305,257.89,253.87,257.39,8135756.0
2025-06-27,251.91,260.55,251.7801,254.51,26988001.0
2025-06-26,251.18,255.48,250.0,251.0,6790286.0
2025-06-25,250.08,250.9941,248.4767,249.9,5197370.0
2025-06-24,248.085,249.39,245.57,248.75,5255728.0
2025-06-23,238.965,248.46,238.62,247.81,8052020.0
