Date,Open,High,Low,Close,Volume
2025-08-13,80.75,82.84,80.2,82.71,11042354.0
2025-08-12,80.465,80.94,79.67,80.3,7857120.0
2025-08-11,80.96,81.6434,79.63,80.03,8210702.0
2025-08-08,80.115,81.17,80.115,80.69,6882894.0
2025-08-07,79.8,80.8199,78.65,80.37,10830075.0
2025-08-06,80.585,81.32,79.27,79.44,13028688.0
2025-08-05,79.9,81.125,79.565,80.79,9984272.0
2025-08-04,79.27,79.99,78.43,79.86,13380721.0
2025-08-01,78.02,79.87,77.53,79.29,11900297.0
2025-07-31,80.8,81.485,77.85,78.12,19813303.0
2025-07-30,82.91,83.58,81.515,81.75,13055190.0
2025-07-29,79.85,82.885,76.66,82.63,27826419.0
2025-07-28,84.47,84.97,83.87,84.06,12881971.0
2025-07-25,84.16,85.22,83.84,84.71,10058807.0
2025-07-24,84.2,84.51,83.52,84.11,8016947.0
2025-07-23,82.62,84.14,82.41,83.98,11542091.0
2025-07-22,79.87,81.765,79.87,81.61,10570988.0
2025-07-21,80.155,80.31,78.95,79.31,11620844.0
2025-07-18,81.555,81.9206,79.855,79.96,11823603.0
2025-07-17,81.98,82.66,81.3355,81.52,8984797.0
2025-07-16,81.455,82.635,81.455,82.43,11517792.0
2025-07-15,83.78,84.36,81.301,81.52,10826957.0
2025-07-14,83.425,84.3,83.11,83.67,10368747.0
2025-07-11,84.13,84.13,82.26,83.36,9717398.0
2025-07-10,83.64,85.0,83.17,84.02,14728600.0
2025-07-09,82.38,84.48,81.89,83.71,18394620.0
2025-07-08,80.95,82.38,80.34,81.37,12752907.0
2025-07-07,80.95,81.54,80.15,80.9,15777353.0
2025-07-03,82.55,82.6048,80.7,80.93,7734538.0
2025-07-02,82.06,82.81,81.8935,82.39,16052701.0
2025-07-01,78.96,83.07,78.6,81.81,21800790.0
2025-06-30,79.25,79.39,78.38,79.16,13895183.0
2025-06-27,79.06,79.54,78.135,79.1,60202470.0
2025-06-26,79.805,80.25,78.37,78.83,13760098.0
2025-06-25,79.7,80.1158,79.16,79.67,12753181.0
2025-06-24,80.37,81.46,79.09,80.32,15906441.0
2025-06-23,79.24,80.22,78.99,80.16,18553809.0
2025-06-20,79.245,79.915,78.6,79.06,34052298.0
2025-06-18,78.05,80.31,77.1,79.29,23803430.0
2025-06-17,80.28,80.7,78.185,78.28,14040588.0
2025-06-16,80.88,81.35,79.71,80.96,12569440.0
2025-06-13,81.65,82.44,81.45,81.71,14550530.0
2025-06-12,80.19,82.11,80.07,81.82,13169179.0
2025-06-11,81.35,81.68,79.98,80.32,11803341.0
2025-06-10,79.34,81.88,79.33,81.35,13254093.0
2025-06-09,79.61,80.405,78.67,79.33,18305764.0
2025-06-06,78.3,79.49,78.21,78.97,9863134.0
2025-06-05,78.35,78.545,77.25,77.62,13996570.0
2025-06-04,77.474,79.135,77.33,78.27,13009326.0
2025-06-03,75.995,77.185,75.435,77.14,18139184.0
2025-06-02,77.02,77.02,75.4,76.25,11271832.0
2025-05-30,76.68,77.56,75.59,76.84,20641472.0
2025-05-29,75.82,77.0,75.69,76.4,10787284.0
2025-05-28,77.43,77.725,75.59,76.17,12293150.0
2025-05-27,78.015,78.2,77.05,77.59,11884517.0
2025-05-23,77.545,77.9,77.08,77.58,10902223.0
2025-05-22,77.01,78.36,76.68,77.84,11799978.0
2025-05-21,77.765,78.1,76.87,76.98,11879467.0
2025-05-20,77.545,79.18,77.4216,77.97,13262433.0
2025-05-19,76.065,77.25,75.69,77.23,11682618.0
2025-05-16,74.985,76.165,74.3675,76.06,15021784.0
2025-05-15,73.77,74.81,73.31,74.8,15274781.0
2025-05-14,77.46,77.46,73.32,73.47,23721801.0
2025-05-13,76.95,78.55,76.56,76.63,23353178.0
2025-05-12,75.92,81.27,75.83,80.43,21761068.0
2025-05-09,77.97,78.45,75.82,75.97,15614536.0
2025-05-08,78.5,78.8,76.93,77.65,15059051.0
2025-05-07,79.62,79.9,78.76,79.12,12227179.0
2025-05-06,82.47,82.48,78.2901,79.04,16991068.0
2025-05-05,83.23,83.58,81.91,82.84,8688011.0
2025-05-02,84.19,84.71,82.95,83.18,11755592.0
2025-05-01,84.505,84.575,83.17,83.26,10036427.0
2025-04-30,85.27,85.83,83.79,85.2,13825117.0
2025-04-29,83.78,85.69,82.75,84.71,18802899.0
2025-04-28,82.915,83.68,82.4,83.19,14240982.0
2025-04-25,79.83,83.28,78.06,82.74,28377956.0
2025-04-24,78.28,79.97,76.03,79.84,18471542.0
2025-04-23,78.5,80.2,78.0,78.74,17935744.0
2025-04-22,78.025,79.04,77.66,78.97,12918169.0
2025-04-21,78.08,78.19,76.99,77.85,11009959.0
2025-04-17,76.89,78.75,76.88,78.0,21416485.0
2025-04-16,78.47,78.69,75.93,76.46,16551293.0
2025-04-15,79.55,79.96,77.72,78.39,16042488.0
2025-04-14,80.02,80.02,78.36,79.17,15796686.0
2025-04-11,77.85,79.44,76.35,79.18,16194426.0
2025-04-10,80.875,81.12,75.96,77.55,19466863.0
2025-04-09,76.76,81.99,76.0,81.91,22928259.0
2025-04-08,83.21,83.27,77.54,78.95,20571573.0
2025-04-07,81.01,83.21,79.3,81.18,26581980.0
2025-04-04,86.12,86.27,81.08,81.47,22965747.0
2025-04-03,88.73,88.9,86.26,86.39,12684130.0
2025-04-02,86.88,87.07,85.32,86.6,10590843.0
2025-04-01,89.75,89.75,86.61,87.12,13922105.0
2025-03-31,89.25,90.265,88.37,89.76,15002990.0
2025-03-28,88.2,90.14,87.6701,89.23,12393480.0
2025-03-27,88.5,88.555,87.38,87.6,12931936.0
2025-03-26,88.24,89.32,87.31,88.11,13810072.0
2025-03-25,92.25,92.31,87.08,87.87,20640186.0
2025-03-24,92.9,93.11,91.56,92.31,16950115.0
2025-03-21,94.58,94.68,93.07,93.11,68435789.0
2025-03-20,93.995,95.16,93.68,94.73,12970165.0
2025-03-19,95.25,95.43,93.64,94.02,11355880.0
2025-03-18,95.225,95.41,93.84,94.72,8670307.0
2025-03-17,93.645,95.2956,93.08,94.79,12237906.0
2025-03-14,94.28,94.875,93.45,94.57,12681125.0
2025-03-13,93.4,96.34,93.4,94.71,16570142.0
2025-03-12,94.07,94.4,92.8575,93.35,11896007.0
2025-03-11,94.98,95.38,93.58,94.73,21734793.0
2025-03-10,94.685,97.0,94.685,95.23,20897609.0
2025-03-07,94.06,97.37,93.85,94.65,24100865.0
2025-03-06,93.13,94.05,91.78,94.0,11300177.0
2025-03-05,91.0,93.45,90.5,93.19,13117129.0
2025-03-04,93.57,95.36,92.32,92.56,15072992.0
2025-03-03,91.775,93.21,91.775,93.15,13636057.0
2025-02-28,90.705,92.35,90.705,92.25,15482079.0
2025-02-27,89.41,90.97,89.25,90.58,10717472.0
2025-02-26,91.3,91.37,88.86,89.38,13534225.0
2025-02-25,91.75,93.055,90.44,91.43,18417272.0
2025-02-24,89.71,91.85,88.93,91.27,19452296.0
2025-02-21,88.0,89.53,87.01,89.5,15678892.0
2025-02-20,85.9,87.7,85.9,87.68,14851549.0
2025-02-19,83.24,85.63,82.85,85.6,17435060.0
2025-02-18,81.13,83.59,81.04,83.29,25897772.0
